City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
349,Ushtobe,KZ,45.2514,77.9838,86.7,28,88,10.16
350,Cocal,BR,-28.6167,-49.35,59.88,97,100,3.13
351,Russell,US,32.3502,-85.1999,81.01,78,0,0.0
352,Eureka,US,40.8021,-124.1637,67.17,72,3,1.99
353,Mineros,BO,-17.1167,-63.2333,74.1,60,92,8.79
354,Wilmington,US,34.2257,-77.9447,75.9,60,0,0.0
355,Santander,ES,43.4647,-3.8044,61.47,95,100,5.75
356,Palmer,US,42.1584,-72.3287,65.01,77,100,0.0
357,Yabrud,SY,33.9674,36.6574,58.93,43,0,2.89
358,Kincardine,GB,56.0667,-3.7167,57.56,89,98,5.35
359,Amapa,BR,1.0,-52.0,69.96,99,5,1.63
360,Sakakah,SA,29.9697,40.2064,72.97,40,0,14.05
361,Fairbanks,US,64.8378,-147.7164,73.92,50,75,16.11
362,Batagay-Alyta,RU,67.8006,130.4114,63.97,45,100,18.81
363,Iralaya,HN,15.0,-83.2333,79.41,83,100,12.59
364,Jacareacanga,BR,-6.2222,-57.7528,71.4,66,6,2.04
365,Girne,CY,35.3417,33.3167,72.95,73,0,12.21
366,Krasnyy Kholm,RU,58.0607,37.1203,51.17,95,28,8.28
367,Dandong,CN,40.1292,124.3947,75.18,83,100,6.69
368,Bahile,PH,9.9995,118.7878,84.07,71,100,2.21
369,Hoquiam,US,46.9809,-123.8893,66.36,83,0,12.66
370,Pochutla,MX,15.7432,-96.4661,77.83,86,100,6.51
371,Matagami,CA,49.7502,-77.6328,66.31,94,75,11.5
372,Kampong Thum,KH,12.7111,104.8887,87.73,63,80,2.98
373,Sovetskiy,RU,61.3614,63.5842,62.6,86,87,8.81
374,Blythe,US,33.6103,-114.5964,101.03,20,0,18.41
375,Soyo,AO,-6.1349,12.3689,70.18,86,67,6.93
376,Yantai,CN,37.5333,121.4,86.25,47,93,13.6
377,Beringovskiy,RU,63.05,179.3167,52.68,69,100,7.99
378,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,93,75,6.91
379,Asfi,MA,32.2994,-9.2372,64.8,73,1,9.08
380,Mantua,IT,45.1667,10.7833,78.04,76,24,5.03
381,Lagos,NG,6.5833,3.75,73.72,98,100,3.47
382,Yhu,PY,-25.05,-55.9167,69.31,71,99,7.52
383,Dasoguz,TM,41.8363,59.9666,76.95,41,0,9.22
384,Mbandaka,CD,0.0487,18.2603,68.92,97,61,2.64
385,Naruto,JP,34.1833,134.6167,78.78,78,40,10.36
386,Kurchum,KZ,48.5722,83.6542,81.9,29,6,6.08
387,Lingao,CN,19.9103,109.6859,89.49,61,100,5.37
388,Leshukonskoye,RU,64.8989,45.7622,49.33,75,91,6.51
389,Codrington,AU,-38.2667,141.9667,59.09,71,100,10.47
390,Fallon,US,39.4735,-118.7774,87.67,7,20,10.36
